,literal,media,varianta,deviatia standard,skewness,numarul de synset-uri cu zero propozitii,numar de propozitii
0,armată,1.575,0.7443749999999999,0.8627716963368698,0.23487654628961963,0,41
1,rol,2.8200000000000003,1.9876,1.4098226838861687,-0.6640811486709534,0,51
2,secol,0.15,0.1275,0.3570714214271425,1.9603921176392138,0,23
3,județ,0.0,0.0,0.0,0.0,1,20
4,oraș,1.9000000000000001,0.6100000000000001,0.7810249675906655,-0.5793144075652349,0,52
5,persoană,0.9666666666666667,0.03222222222222222,0.17950549357115014,-5.19946946895745,1,41
6,comună,0.5,0.25,0.5,0.0,0,11
7,loc,7.408888888888889,43.797254320987655,6.617949404535189,0.4531198724080327,1,318
8,uniune,0.5,0.25,0.5,0.0,0,12
9,parte,10.003448275862072,18.989643281807375,4.357710784552753,2.605396121384781,8,310
10,locuitor,1.3333333333333335,0.4222222222222223,0.6497862896539309,-0.45899031540651714,0,31
11,biserică,0.3333333333333333,0.48888888888888893,0.6992058987801011,1.7769075526849676,0,30
12,fapt,1.9873417721518987,1.354270149014581,1.1637311326137927,1.157090468188744,0,163
13,muncă,0.85,0.1275,0.3570714214271425,-1.9603921176392138,0,24
14,film,0.125,0.309375,0.5562148865321748,4.399324355063174,1,47
15,stat,0.6000000000000001,0.39,0.6244997998398398,1.1578497275137063,1,42
16,dată,2.15,1.8275,1.3518505834595773,-0.07113924557908091,1,60
17,perioadă,2.45,2.3474999999999997,1.532155344604456,-0.30868276406656536,0,63
18,majoritate,1.15,0.7775,0.8817596044274199,-0.2964694568499052,1,46
19,nord,1.3703703703703702,0.6776406035665294,0.823189287810847,-0.7768883479311087,0,28
20,activitate,1.8,0.56,0.7483314773547883,-0.3722567298065915,0,46
21,țară,0.35000000000000003,0.6275000000000001,0.792148975887743,2.310020632213713,0,59
22,mod,2.8,0.96,0.9797958971132712,-0.8675276172357085,2,59
23,clădire,0.0,0.0,0.0,0.0,1,23
24,săptămână,0.29411764705882354,0.20761245674740483,0.4556450995538137,0.9036961141150639,0,18
25,echipă,1.3333333333333333,1.7638888888888893,1.3281147875424357,0.760851921191153,0,51
26,consiliu,1.48,1.2896,1.1356055653262713,-0.03251399786198528,0,25
27,nume,4.1,9.756666666666668,3.1235663378047005,1.1721510058403684,2,122
28,tată,0.2,0.16000000000000003,0.4,1.5,0,22
29,război,0.44000000000000006,0.7664,0.8754427451295715,2.2403933641827587,0,56
30,soție,1.0,0.0,0.0,0.0,1,31
31,problemă,1.8142857142857143,4.179795918367347,2.044454919622183,0.9737237296288384,0,87
32,lună,3.3857142857142857,5.351224489795918,2.313271382651832,-0.7091206754333006,0,74
33,timp,2.2666666666666666,7.178888888888888,2.679344861881144,0.928248160959728,3,120
34,sfânt,0.22727272727272727,0.5392561983471076,0.7343406555183416,3.0593484833767155,1,23
35,proces,1.7297297297297298,0.7377647918188459,0.8589323557876056,-0.7308797798948705,0,37
36,femeie,1.175,0.19437500000000002,0.44087980221371,0.7887619128737332,1,43
37,cauză,2.12,0.9455999999999999,0.9724196624914574,-0.11108403988023746,0,51
38,companie,3.0,2.0,1.4142135623730951,-0.42426406871192834,0,61
39,teritoriu,0.8823529411764706,0.6920415224913494,0.8318903308077029,0.22273863607376276,0,23
40,insulă,0.9,0.09000000000000001,0.30000000000000004,-2.666666666666666,0,26
41,nevoie,3.3888888888888884,1.8154320987654322,1.3473797158802088,0.05944404058230762,1,90
42,universitate,1.5333333333333332,0.4488888888888889,0.669991708074726,-1.119170542652027,0,32
43,mănăstire,0.85,0.1275,0.3570714214271425,-1.9603921176392138,0,25
44,om,2.4833333333333334,1.3830555555555555,1.1760338241545416,0.5318045152259765,0,66
45,specie,0.35714285714285715,0.22959183673469385,0.4791574237499549,0.5962847939999437,0,16
